"id	title	link	snippet",,,,,,,,,,,,,,,,
"191	Presumed asymptomatic carrier transmission of COVID-19	https://jamanetwork.com/journals/jama/article-abstract/2762028	Methods| In January 2020", we enrolled a familial cluster of 5 patients with fever and respiratory symptoms who were admitted to the Fifth People's Hospital of Anyang, Anyang, China, and 1 asymptomatic family member. This study was approved by the local …,,,,,,,,,,,,
Seyed M. Moghadas, Affan Shoukat, Meagan C. Fitzpatrick,.,,,,,,,,,,,,,
"
467	[HTML][HTML] Knowledge, attitudes, and practices towards COVID-19 among Chinese residents during the rapid rise period of the COVID-19 outbreak: a quick online cross …	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098034/	… had 12 questions (Table ​(Table1):1): 4 regarding clinical presentations (K1-K4)", 3 regarding,,,,,,,,,,,,,,,
transmission routes (K5 … could be the result of the residents' good knowledge regarding the high,,,,,,,,,,,,,,,,
infectivity of the COVID-19 virus, which can be easily transmitted between people … ,,,,,,,,,,,,,,,
"
468	Epidemic growth and reproduction number for the novel coronavirus disease (COVID-19) outbreak on the Diamond Princess Cruise Ship from January 20 to February …	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3543150	… By using the growing process model", we demonstrated that this Diamond Princess cruise,,,,,,,,,,,,,,,
outbreak implies a short serial interval of COVID-19. Hence, timely contact tracing and,,,,,,,,,,,,,,,
effectively quarantine were crucial to shutoff the COVID-19 transmission … ,,,,,,,,,,,,,,,,
"
469	COVID-19: a novel coronavirus and a novel challenge for critical care	https://link.springer.com/article/10.1007/s00134-020-05955-1	… Infection prevention and control. Nosocomial transmission to other patients and",,,,,,,,,,,,,,,,
transmission to HCWs has been a major feature of both outbreaks of SARS, MERS,,,,,,,,,,,,,,,
and now COVID-19 [15, 21]. In one report, 41% of hospitalized … ,,,,,,,,,,,,,,
"
470	Social distancing strategies for curbing the COVID-19 epidemic	https://www.medrxiv.org/content/10.1101/2020.03.22.20041079v1.abstract	… Proc. R. Soc. B Biol. Sci. 274", 833–837. (doi:10.1098/rspb.2006.0015) 13. Bi Q et,,,,,,,,,,,,,,,
al. 2020 Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis,,,,,,,,,,,,,,,,
of 391 cases and 1,286 of their close contacts. medRxiv 14 … ,,,,,,,,,,,,,,,
"
471	Predicting the number of reported and unreported cases for the COVID-19 epidemic in South Korea, Italy, France and Germany	https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3557360	… Our goal here is to apply this analysis to the COVID-19 epidemics in South Korea", Italy,,,,,,,,,,,,,,,
France, and Germany. In an early phase of the epidemic, the reported case data grows,,,,,,,,,,,,,,
exponentially, which corresponds to a constant transmission rate … ,,,,,,,,,,,,,,,
"
472	More awareness is needed for severe acute respiratory syndrome coronavirus 2019 transmission through exhaled air during non-invasive respiratory support …	https://erj.ersjournals.com/content/55/3/2000352.abstract	… and 40 medical staff. Given the high use of respiratory support to treat dyspnoea",,,,,,,,,,,,,,,,
and respiratory failure induced by COVID-19, viral transmission through exhaled,,,,,,,,,,,,,,,
air should be considered. When oxygen is delivered through … ,,,,,,,,,,,,,,,,
"
473	Makeshift hospitals for COVID-19 patients: where health-care workers and patients need sufficient ventilation for more protection	https://www.journalofhospitalinfection.com/article/S0195-6701(20)30107-9/abstract	… of the COVID-19 (Table 1). However", insufficient ventilation in these makeshift,,,,,,,,,,,,,,,
hospitals may increase infection risk of opportunistic airborne transmission. This,,,,,,,,,,,,,,,,
was seen in the spread of Severe Acute Respiratory Syndrome … ,,,,,,,,,,,,,,,,
"
474	Clinical presentation and virological assessment of hospitalized cases of coronavirus disease 2019 in a travel-associated transmission cluster	https://www.medrxiv.org/content/10.1101/2020.03.05.20030502v1.abstract	… A G6446A exchange was first detected in one patient and later transmitted to other patients in",,,,,,,,,,,,,,,,
the cluster … Together, these findings suggest a more efficient transmission of SARS-CoV-2 than,,,,,,,,,,,,,,,
SARS-CoV through … Later in the disease, COVID-19 then resembles SARS in terms of … ,,,,,,,,,,,,,,,
"
475	Effective strategies to prevent coronavirus disease-2019 (COVID-19) outbreak in hospital	https://www.journalofhospitalinfection.com/article/S0195-6701(20)30098-0/abstract	… ([last accessed February 2020]) Google ScholarSee all References2]. Notably",,,,,,,,,,,,,,,,
hospital-associated transmission of COVID-19 to healthcare workers and hospitalized patients,,,,,,,,,,,,,,,,
has been reported [3x[3]Wang, D., Hu, B., Hu, C., Zhu, F., Liu, X., Zhang, J. et al … ,,,,,
"
476	[HTML][HTML] Preparing for COVID-19: early experience from an intensive care unit in Singapore	https://ccforum.biomedcentral.com/articles/10.1186/s13054-020-2814-x	… Singapore recorded the highest number of confirmed cases outside of mainland China with",,,,,,,,,,,,,,,,
several clusters of local transmission. All healthcare institutions adopted a common strategy of,,,,,,,,,,,,,,,,
containment, with isolation of all suspected or confirmed cases of COVID-19 in negative … ,,,,,,,,,,,,,,,
"
477	Several suggestion of operation for colorectal cancer under the outbreak of Corona Virus Disease 19 in China	https://europepmc.org/article/med/32074719	… be transmitted by droplets and contact. However", fecal-oral transmission and aerosol transmission,,,,,,,,,,,,,,,
have not been excluded. Based onLaparoscopic colorectal operation experiences, the author,,,,,,,,,,,,,,,
suggests that the surgery strategy for colorectal cancer patients under the COVID-19 … ,,,,,,,,,,,,,,,,
"
478	[HTML][HTML] Radiology Department Preparedness for COVID-19:                         Radiology Scientific Expert Panel	https://pubs.rsna.org/doi/full/10.1148/radiol.2020200988	… 3. Reducing potential transmission from known or suspected COVID-19 patients. The",,,,,,,,,,,,,,,,
guiding principle to reduce potential transmission from known or suspected,,,,,,,,,,,,,,,,
COVID-19 patients is source control. In the ambulatory care setting … ,,,,,,,,,,,,,,,,
"
479	[HTML][HTML] Progression of Mental Health Services during the COVID-19 Outbreak in China	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7098037/	… Abstract. The novel coronavirus disease (COVID-19) has been rapidly transmitted in China", Macau,,,,,,,,,,,,,,,
Hong Kong, and other Asian and European counterparts … Nevertheless, the rapid transmission,,,,,,,,,,,,,,
of the COVID-19 has emerged to mount a serious challenge to the mental health … ,,,,,,,,,,,,,,,,
"
480	[HTML][HTML] The role of CT for Covid-19 patient's management remains poorly defined	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7048972/	… Respiratory droplet transmission is the main route of transmission", while it can also be transmitted,,,,,,,,,,,,,,,
through contact … Covid-19 patients commonly have symptoms of fever, fatigue, dry cough,,,,,,,,,,,,,,
dyspnoea, chest tightness, nasal congestion, runny nose or other upper respiratory … ,,,,,,,,,,,,,
"
481	Impacts of Social and Economic Factors on the Transmission of Coronavirus Disease 2019 (COVID-19) in China	https://www.econstor.eu/handle/10419/215739	This paper models the local and cross-city transmissions of the novel coronavirus in China between January 19 and February 29 in 2020. We examine the role of various socioeconomic mediating factors, including public health measures that encourage social …
482	[PDF][PDF] Coronavirus disease 2019 (COVID-19): the portrait of a perfect storm	https://www.researchgate.net/profile/Giuseppe_Lippi2/publication/340116806_Coronavirus_disease_2019_COVID-19_the_portrait_of_a_perfect_storm/links/5e79cf8f92851c309139234c/Coronavirus-disease-2019-COVID-19-the-portrait-of-a-perfect-storm.pdf	… Last", but nonetheless important, is the possibility that the virus could be transmitted at the end,,,,,,,,,,,,,,
of the infection, after symptoms have … Early Transmission Dynamics in Wuhan, China, of Novel,,,,,,,,,,,,,
Coronavirus-Infected Pneumonia … Remuzzi A, Remuzzi G. COVID-19 and Italy: what next … ,,,,,,,,,,,,,,,
"
483	[HTML][HTML] Safety and efficacy of different anesthetic regimens for parturients with COVID-19 undergoing Cesarean delivery: a case series of 17 patients	https://link.springer.com/article/10.1007/s12630-020-01630-7	… Chen H", Guo J, Wang C, et al. Clinical characteristics and intrauterine vertical transmission,,,,,,,,,,,,,
potential of COVID-19 infection in nine pregnant women: a retrospective review of medical records.,,,,,,,,,,,,,,,,
Lancet 2020. DOI: https://doi.org/10.1016/S0140-6736(20)30360-3 … ,,,,,,,,,,,,,,,,
"
484	[HTML][HTML] Estimated effectiveness of symptom and risk screening to prevent the spread of COVID-19	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7060038/	… Our work underscores the need for measures to limit transmission by individuals who become",,,,,,,,,,,,,,,,
ill after being missed by a screening program. These findings can support evidence-based policy,,,,,,,,,,,,,,,,
to combat the spread of COVID-19, and prospective planning to mitigate future … ,,,,,,,,,,,,,,,
"
485	Aerodynamic Characteristics and RNA Concentration of SARS-CoV-2 Aerosol in Wuhan Hospitals during COVID-19 Outbreak	https://www.biorxiv.org/content/10.1101/2020.03.08.982637v1.abstract	… 19 patients or with long stay in high risk area; 4) the renovation of large stadiums as field hospitals",,,,,,,,,,,,,,,,
with nature ventilation and protective measures is an effective approach to quarantine and treat,,,,,,,,,,,,,,,,
mild symptom patients so as to reduce the COVID-19 transmission among the … ,,,,,,,,,,,,,,,,
"
486	[HTML][HTML] Wuhan novel coronavirus (COVID-19): why global control is challenging?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7130979/	… Firstly", the rapid spread of COVID-19 is likely to be driven by the phenomenon of 'superspreading'.,,,,,,,,,,,,,,,
Superspreading describes heightened transmission of the disease to at least eight contacts and,,,,,,,,,,,,,,,,
has been observed for several infectious diseases including SARS, MERS, and … ,,,,,,,,,,,,,,
"
487	Radiotherapy care during a major outbreak of COVID-19 in Wuhan	https://www.advancesradonc.org/article/S2452109420300555/abstract	… Between January 30 th and the time of the writing", we have treated over 100 radiotherapy,,,,,,,,,,,,,,,
patients, with no incidence of on-site COVID-19 transmission between patients and health,,,,,,,,,,,,,,,
care workers in the duration. This suggested that the protection … ,,,,,,,,,,,,,,,,
"
488	Pregnancy and Perinatal Outcomes of Women With Coronavirus Disease (COVID-19) Pneumonia: A Preliminary Analysis	https://www.ajronline.org/doi/abs/10.2214/AJR.20.23072	… Radiology 2020 Feb 13 [Epub ahead of print] [Google Scholar]. 7. Chen H", Guo J, Wang C, et,,,,,,,,,,,,,
al. Clinical characteristics and intrauterine vertical transmission potential of COVID-19 infection,,,,,,,,,,,,,,,,
in nine pregnant women: a retrospective review of medical records … ,,,,,,,,,,,,,,,,
"
489	Pulmonary pathology of early phase 2019 novel coronavirus (COVID-19) pneumonia in two patients with lung cancer	https://www.sciencedirect.com/science/article/pii/S1556086420301325	… autopsies and biopsies include the suddenness of the outbreak", the vast patient volume in 57,,,,,,,,,,,,,,,
hospitals, shortage of healthcare personnel, and the high rate of transmission, which 58 … Page,,,,,,,,,,,,,
5. 4 necessary specimens to examine the histopathology of COVID-19 pneumonia. 63 64 … ,,,,,,,,,,,,,,,,
"
490	COVID-19: Real-time dissemination of scientific information to fight a public health emergency of international concern	https://www.jstage.jst.go.jp/article/bst/advpub/0/advpub_2020.01056/_article/-char/ja/	… contacts and suggested that measures to prevent or reduce transmission be implemented … to-date",,,,,,,,,,,,,,,,
delineation of the epidemiological and clinical characteristics of COVID-19 throughout mainland …,,,,,,,,,,,,,,,,
cases from China, several reports identified clusters of locally transmitted cases in … ,,,,,,,,,,,,,,,
"
491	Response to COVID-19 in Taiwan: big data analytics, new technology, and proactive testing	https://jamanetwork.com/journals/jama/article-abstract/2762689	… Research Letter. Presumed Asymptomatic Carrier Transmission of COVID-19. Yan",,,,,,,,,,,,,,,,
Bai, MD; Lingsheng Yao, MD; Tao Wei, MD; Fei Tian, MD; Dong-Yan Jin, PhD; Lijuan,,,,,,,,,,,
Chen, PhD; Meiyun Wang, MD, PhD. Research Letter. RT … ,,,,,,,,,,,,,
"
492	Coronavirus disease 2019 (COVID-19) during pregnancy: A case series	https://www.preprints.org/manuscript/202002.0373	… intrauterine vertically transmitted. Study Design: The study was a case series study conducted",,,,,,,,,,,,,,,,
in the obstetric ward … 9. Chen H, Guo J, Wang C, et al. Clinical characteristics and intrauterine,,,,,,,,,,,,,
vertical transmission potential of COVID-19 infection in nine pregnant women: a … ,,,,,,,,,,,,,,,,
"
493	[HTML][HTML] Updated rapid risk assessment from ECDC on the novel coronavirus disease 2019 (COVID-19) pandemic: increased transmission in the EU/EEA and the UK	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7078827/	The European Centre for Disease Prevention and Control (ECDC) provides regularly updated information on coronavirus disease-2019 (COVID-19) relevant to Europe on a dedicated webpage. Besides general information including Q&As, daily case counts, and …
494	Investigation and analysis on characteristics of a cluster of COVID-19 associated with exposure in a department store in Tianjin	https://europepmc.org/article/med/32133830	… Methods: The basic characteristics", time and area distributions, clinical manifestations,,,,,,,,,,,,,,
epidemiological history and transmission mode of the COVID-19 cases associated,,,,,,,,,,,,,,,,
with the department store exposure were analyzed. Results … ,,,,,,,,,,,,,,,,
"
495	Novel coronavirus 2019 (COVID‐19): Emergence and implications for emergency care	https://onlinelibrary.wiley.com/doi/abs/10.1002/emp2.12034	… Multiple reports have confirmed human‐to‐human transmission of the COVID‐19.8 When",,,,,,,,,,,,,,,,
